item_cd,market_group,n_obs,p_mean,obs_mean,p_sd,obs_sd,p_skew,obs_skew,p_min,obs_min,p_max,obs_max
252,11,16,0.505,9.127014179267368,0.346,1.9168751940999371,0.417,0.15009890878931406,0.324,6.566672429803241,0.819,11.289794413577894
252,21,11,0.489,9.577310895610891,0.3,1.7844342138865363,0.869,-0.5892193308982305,0.548,6.93828448401696,0.877,10.859018228147887
252,22,10,0.464,9.883082498887187,0.331,1.6061675989572153,0.934,-0.8893945661304252,0.605,7.327123292259293,0.878,10.87806606028079
252,24,10,0.454,9.69379861854191,0.327,1.6896940850878182,0.95,-0.9552694291957865,0.722,6.634633357861686,0.877,10.742918838113225
252,25,10,0.441,9.71499228464597,0.301,1.5724772637552844,0.926,-0.8987926047315251,0.6,7.223295679562314,0.858,10.799595985047786
253,11,16,0.482,9.058692355392296,0.39,1.2143905226088574,0.365,0.16807049413945435,0.198,7.601402334583733,0.67,10.736418414365376
253,21,11,0.479,9.39080923608688,0.329,1.3757969774072625,0.91,-0.7336601879787882,0.667,7.01301578963963,0.883,10.404293143019792
253,22,10,0.466,9.702183788570082,0.366,1.1505209112805035,0.96,-0.9927547805141371,0.73,7.534228326274089,0.879,10.434145214930487
253,24,10,0.465,9.811597534664788,0.355,1.221402557652946,0.938,-0.8722514997933372,0.697,7.65491704784832,0.818,10.825780236605917
253,25,10,0.434,9.753743753085377,0.346,1.1761136247990585,0.944,-0.9130913679642197,0.705,7.601402334583733,0.728,10.881832472145556
255,11,14,0.487,9.283798546142146,0.357,1.974155011352178,0.504,-0.008167192201219357,0.217,7.13966033596492,0.798,11.356283350762888
255,21,11,0.473,9.682141730473749,0.313,2.0699465320546913,0.864,-0.6028829216120069,0.522,6.683360945766275,0.846,11.314486721293981
255,22,10,0.482,9.973888731997604,0.318,1.9794901137468526,0.95,-0.9343069752850426,0.72,6.493753839851686,0.9,11.225256725762893
255,24,10,0.47,9.97241157345671,0.287,1.9564169174039765,0.945,-0.9227500139131241,0.704,6.580639137284949,0.864,11.259335592686217
256,11,16,0.495,8.751732603331831,0.351,1.4665943574017912,0.291,0.2316674068128534,0.148,7.193685818395112,0.773,10.510559281627845
256,21,11,0.465,9.17108020502809,0.335,1.4014169790067015,0.818,-0.5682325220566793,0.447,7.244941546337007,0.852,10.275085591132715
256,22,10,0.45,9.450267107411767,0.336,1.37088067687259,0.918,-0.8912535684929188,0.617,7.215975002651466,0.883,10.308985993422082
256,24,10,0.484,9.283852721568246,0.309,1.3358159705327157,0.93,-0.93985849003668,0.713,6.90875477931522,0.906,10.110542371500753
256,25,10,0.462,9.491685165895484,0.336,1.376888344169908,0.942,-0.8794940274622282,0.587,7.313886831633462,0.87,10.425282789490705
257,11,16,0.445,10.257250396461066,0.596,0.5701882219102151,0.558,-0.0634433960258811,0.204,9.472781556562168,0.892,10.889323003601277
257,21,11,0.5,10.070232869158197,0.72,0.42879598381627493,0.827,-0.551128076613007,0.246,9.45727857185611,0.898,10.463131911491967
257,22,10,0.46,10.168686294340683,0.75,0.43080528453597455,0.936,-0.9260070246373813,0.376,9.417435838868785,0.944,10.434145214930487
257,24,10,0.477,10.11656709124884,0.77,0.3896171731487631,0.968,-1.0667627992738227,0.478,9.350189267092581,0.936,10.351405324899678
